animal_name,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize,class_type
sealion,1,0,0,1,0,1,1,1,1,1,0,1,2,1,0,1,Mammal
seasnake,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,Reptile
seawasp,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,Invertebrate
skimmer,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,Bird
skua,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,Bird
slowworm,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,Reptile
slug,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Invertebrate
sole,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,Fish
sparrow,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,Bird
squirrel,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,0,Mammal
starfish,0,0,1,0,0,1,1,0,0,0,0,0,5,0,0,0,Invertebrate
stingray,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,Fish
swan,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,1,Bird
termite,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,Bug
toad,0,0,1,0,0,1,0,1,1,1,0,0,4,0,0,0,Amphibian
tortoise,0,0,1,0,0,0,0,0,1,1,0,0,4,1,0,1,Reptile
tuatara,0,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,Reptile
tuna,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,Fish
vampire,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,Mammal
vole,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,Mammal
vulture,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,1,Bird
wallaby,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,1,Mammal
wasp,1,0,1,0,1,0,0,0,0,1,1,0,6,0,0,0,Bug
wolf,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,Mammal
worm,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Invertebrate
wren,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,Bird
anta,1,0,0,1,0,0,0,1,1,1,0,0,4,0,0,0,Mammal
ariranha,1,0,0,1,0,1,1,1,1,1,0,1,4,1,0,0,Mammal
boto-cor-de-rosa,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,0,Mammal
bugio,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,Mammal
cachorro-vinagre,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,Mammal
chimpanze,1,0,0,1,0,0,1,1,1,1,0,0,4,1,1,0,Mammal
gato-maracaja,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,Mammal
jaguatirica,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,Mammal
lobo-guara,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,Mammal
macaco-aranha,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,Mammal
macaco-barrigudo,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,Mammal
mico-leao-dourado,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,Mammal
mono-carvoeiro,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,Mammal
onca-pintada,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,Mammal
orangotango,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,0,Mammal
peixe-boi,1,0,0,1,0,1,0,1,1,1,0,1,2,1,0,0,Mammal
queixada,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,Mammal
tamandua-bandeira,1,0,0,1,0,0,0,0,1,1,0,0,4,1,0,0,Mammal
urso-de-oculos,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,0,Mammal
aguia-cinzenta,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,Bird
aracari-banana,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,Bird
arara-azul,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,1,Bird
arara-caninde,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,1,Bird
chaua,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,1,Bird
ema,0,1,1,0,0,0,0,0,1,1,0,0,2,0,0,0,Bird
gaviao-pombo,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,1,Bird
guara,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,1,Bird
harpia,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,Bird
jacurutu,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,1,Bird
jacutinga,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,1,Bird
jandaia-amarela,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,Bird
macuco,0,1,1,0,0,0,0,0,1,1,0,0,2,0,0,1,Bird
murucututu,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,1,Bird
mutum,0,1,1,0,0,0,0,0,1,1,0,0,2,1,0,1,Bird
papagaio-de-cara-roxa,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,1,Bird
pato-de-crista,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,1,Bird
pavo,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,1,Bird
tucano-de-bico-preto,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,1,Bird
urubu-rei,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,Bird
cobra-cipo,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,Reptile
jabuti,0,0,1,0,0,1,0,0,1,1,0,0,4,0,1,1,Reptile
jacare-coroa,0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,0,Reptile
jararaca-ilhoa,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,Reptile
jiboia,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,Reptile
sucuri,0,0,1,0,0,1,1,1,1,1,0,0,0,1,0,0,Reptile
tracaja,0,0,1,0,0,1,0,0,1,1,0,0,4,0,1,0,Reptile
urutu-cruzeiro,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,Reptile
baiacu,0,0,1,0,0,1,0,1,1,0,1,1,0,1,0,0,Fish
cascudinho-de-caverna,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,Fish
lambari,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,Fish
matrinxa,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,Fish
pirarucu,0,0,1,0,0,1,1,1,1,1,0,1,0,1,0,0,Fish
raia-chita,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,Fish
tambaqui,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,Fish
tubarao-raposa,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,Fish
perereca-de-alcatrazes,0,0,1,0,0,1,0,0,1,1,0,0,4,0,0,0,Amphibian
ra-flecha-azul,0,0,1,0,0,1,0,0,1,1,1,0,4,0,0,0,Amphibian
ra-pimenta,0,0,1,0,0,1,0,0,1,1,0,0,4,0,0,0,Amphibian
sapo-barriga-de-fogo,0,0,1,0,0,1,0,0,1,1,0,0,4,0,1,0,Amphibian
sapo-cururu,0,0,1,0,0,1,1,1,1,1,1,0,4,0,0,0,Amphibian
sapo-de-chifre,0,0,1,0,0,1,1,1,1,1,0,0,4,0,0,1,Amphibian
abelha,1,0,1,0,1,0,0,0,0,1,1,0,6,0,0,0,Bug
joaninha,0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,Bug
mariposa,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,Bug
pirilampo,0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,Bug
vespa,0,0,1,0,1,0,1,0,0,1,1,0,6,0,0,0,Bug
bicho-pau,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,Invertebrate
caracol-da-mata-atlantica,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Invertebrate
caranguejeira,1,0,1,0,0,0,1,0,0,1,1,0,8,0,0,0,Invertebrate
sauva-limao,1,0,1,0,0,0,1,0,0,1,1,0,6,0,0,0,Invertebrate
turtle,0,0,1,0,0,1,0,0,1,1,0,0,4,1,1,1,Reptile
chameleon,0,0,1,0,0,0,0,1,1,1,0,0,4,1,1,0,Reptile
iguana,0,0,1,0,0,0,1,1,1,1,0,0,4,1,1,1,Reptile
lizard,0,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,Reptile
gecko,0,0,1,0,0,0,0,1,1,1,0,0,4,1,1,0,Reptile
python,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,1,Reptile
boa,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,1,Reptile
adder,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,1,Reptile
crocodile,0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,1,Reptile
alligator,0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,1,Reptile
gharial,0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,1,Reptile
skink,0,0,1,0,0,0,0,1,1,1,0,0,4,1,0,0,Reptile
anchovy,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,Fish
flounder,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,Fish
halibut,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,Fish
mackerel,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,Fish
barracuda,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,Fish
marlin,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,Fish
trout,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,Fish
salamander,0,0,1,0,0,1,0,1,1,1,0,0,4,1,1,0,Amphibian
siren,0,0,1,0,0,1,0,1,1,1,0,0,2,1,0,0,Amphibian
tree frog,0,0,1,0,0,1,0,1,1,1,0,0,4,0,0,0,Amphibian
dart frog,0,0,1,0,0,1,0,1,1,1,0,0,4,0,0,0,Amphibian
firebelly,0,0,1,0,0,1,0,1,1,1,0,0,4,0,0,0,Amphibian
wart toad,0,0,1,0,0,1,0,1,1,1,0,0,4,0,0,0,Amphibian
mosquito,0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,Bug
hornet,0,0,1,0,1,0,1,0,0,1,1,0,6,0,0,0,Bug
cricket,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,Bug
beetle,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,Bug
butterfly,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,Bug
palmetto,0,0,1,0,1,0,1,0,0,1,0,0,6,0,0,0,Bug
cockroach,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,Bug
mantis,0,0,1,0,0,0,1,0,0,1,0,0,6,0,0,0,Bug
dragonfly,0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,Bug
aphid,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,Bug
cicada,0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,Bug
antlion,0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,Bug
scallop,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,Invertebrate
spider,0,0,1,0,0,0,1,1,0,1,1,0,8,0,0,0,Invertebrate
snail,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Invertebrate
silkworm,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Invertebrate
jellyfish,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,Invertebrate
squid,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,Invertebrate
